,순번,본부명,소방서,주소,전화번호,FAX,경도,위도
0,1,서울소방재난본부,강남소방서,서울특별시 강남구 테헤란로 629(삼성동),02-6981-7575,02-556-2119,127.0668338,37.51027847
1,2,서울소방재난본부,강동소방서,서울특별시 강동구 성내로 39(성내동),02-470-0119,02-489-2119,127.1248494,37.52954928
2,3,서울소방재난본부,강북소방서,서울특별시 강북구 한천로 911(번동),02-6946-0200,02-6946-0202,127.0381501,37.63307917
3,4,서울소방재난본부,강서소방서,서울특별시 강서구 양천로 550(등촌동),02-3663-0119,02-3662-0590,126.860047,37.55824634
4,5,서울소방재난본부,관악소방서,서울특별시 관악구 관악로 97(봉천동),02-6981-8310,02-877-4119,126.9523349,37.47399272
5,6,서울소방재난본부,광진소방서,서울특별시 광진구 광나루로 480(구의동),02-457-0119,02-454-0338,127.0828105,37.54474246
6,7,서울소방재난본부,구로소방서,서울특별시 구로구 경인로 408(고척동),02-2618-0119,02-2619-0121,126.8656294,37.49797217
7,8,서울소방재난본부,노원소방서,서울특별시 노원구 한글비석로 1길 8(하계동),02-6981-6910,02-979-6119,127.0710521,37.63828143
8,9,서울소방재난본부,도봉소방서,서울특별시 도봉구 도봉로 666(방학동),02-6981-8119,02-3493-1119,127.0431013,37.66365264
9,10,서울소방재난본부,동대문소방서,서울특별시 동대문구 장한로 34(장안동),02-6942-1310,02-2242-0119,127.0666958,37.56381855
10,11,서울소방재난본부,동작소방서,서울특별시 동작구 여의대방로16길 55(신대방동),02-847-1190,02-848-2111,126.917809,37.49472043
11,12,서울소방재난본부,마포소방서,서울특별시 마포구 창전로 76(신수동),02-6981-7910,02-716-1192,126.9330632,37.5491135
12,13,서울소방재난본부,서대문소방서,서울특별시 서대문구 연희로 182(연희동),02-6981-5510,02-3144-9119,126.9359056,37.57322742
13,14,서울소방재난본부,서초소방서,서울특별시 서초구 사평대로 67(반포동),02-537-0119,02-599-0119,126.9920218,37.49878381
14,15,서울소방재난본부,성동소방서,서울특별시 성동구 살곶이길 331(행당동),02-2622-1711,02-2622-1719,127.0395198,37.55387888
15,16,서울소방재난본부,성북소방서,서울특별시 성북구 종암로 27길 3(종암동),02-6981-7310,02-925-0119,127.0316859,37.60243954
16,17,서울소방재난본부,송파소방서,서울특별시 송파구 오금로51길 56(마천동),02-403-2119,02-431-6119,127.1426281,37.49987077
17,18,서울소방재난본부,양천소방서,서울특별시 양천구 목동서로 180(목동),02-2655-1119,02-2651-6119,126.8724503,37.53027277
18,19,서울소방재난본부,영등포소방서,서울특별시 영등포구 문래로 197(영등포동4가),02-6981-7119,02-6981-7110,126.9041808,37.51845398
19,20,서울소방재난본부,용산소방서,서울특별시 용산구 한강대로 167(한강로2가),02-794-0119,02-792-5117,126.9715151,37.53411856
20,21,서울소방재난본부,은평소방서,서울특별시 은평구 통일로 962(진관동),02-355-0119,02-382-1149,126.919788,37.62875658
21,22,서울소방재난본부,종로소방서,서울특별시 종로구 종로1길 28(수송동),02-735-6119,02-739-0119,126.9788989,37.57291192
22,23,서울소방재난본부,중부소방서,서울특별시 중구 퇴계로 394(무학동),02-2234-0119,02-2252-1516,127.0153778,37.56482611
23,24,서울소방재난본부,중랑소방서,서울특별시 중랑구 신내로 183(신내동),02-6981-8920,02-3421-3911,127.0948553,37.61538725
24,25,부산소방재난본부,강서소방서,부산광역시 강서구 녹산산단361로 9(송정동),051-760-5000,051-760-5019,128.8567912,35.08967479
25,26,부산소방재난본부,금정소방서,부산광역시 금정구 중앙대로 1789(부곡동),051-760-4700,051-760-5019,129.0923923,35.24389686
26,27,부산소방재난본부,기장소방서,부산광역시 기장군 정관면 용수로 7,051-760-5100,051-760-5119,129.179943,35.3247383
27,28,부산소방재난본부,부산진소방서,부산광역시 동구 범일로 115(범일동),051-760-4200,051-760-4219,129.0590426,35.14046808
28,29,부산소방재난본부,북부소방서,부산광역시 사상구 삼덕로 17(삼락동),051-760-4400,051-760-4419,128.9785629,35.17469473
29,30,부산소방재난본부,사하소방서,부산광역시 사하구 장평로 270(신평동),051-760-4500,051-760-4529,128.9734798,35.0900598
30,31,부산소방재난본부,남부소방서,부산광역시 수영구 광일로 64(광안동),051-760-4800,051-760-4819,129.1070393,35.16316565
31,32,부산소방재난본부,동래소방서,부산광역시 연제구 고분로 216(연산동),051-760-4300,051-760-4319,129.1060946,35.18424659
32,33,부산소방재난본부,항만소방서,부산광역시 영도구 해양로 297(동삼동),051-760-4900,051-760-4919,129.0768675,35.0817865
33,34,부산소방재난본부,중부소방서,부산광역시 중구 충장대로 6(중앙동4가),051-760-4100,051-760-4119,129.0371434,35.10463846
34,35,부산소방재난본부,해운대소방서,부산광역시 해운대구 해운대해변로 106(우동),051-760-4600,051-760-4619,129.1437482,35.1595439
35,36,대구소방안전본부,달서소방서,대구광역시 달서구 학산로 75,053-607-2216,053-635-0532,128.5346885,35.83103962
36,37,대구소방안전본부,강서소방서,대구광역시 달성군 다사읍 달구벌대로 920,053-601-4600,053-592-2119,128.4673814,35.85543123
37,38,대구소방안전본부,달성소방서,대구광역시 달성군 현풍읍 비슬로 480,053-670-5200,053-670-5209,128.4469605,35.68259549
38,39,대구소방안전본부,동부소방서,대구광역시 동구 동대구로 507,053-601-4317,053-751-9953,128.6253428,35.87594085
39,40,대구소방안전본부,북부소방서,대구광역시 북구 칠성남로 112,053-350-4700,053-350-4719,128.5923138,35.87800152
40,41,대구소방안전본부,서부소방서,대구광역시 서구 달서천로 186,053-320-4499,053-357-1803,128.5543892,35.88191713
41,42,대구소방안전본부,수성소방서,대구광역시 수성구 청호로 87,053-780-5213,053-782-4223,128.644225,35.82544361
42,43,대구소방안전본부,중부소방서,대구광역시 중구 달구벌대로 1926,053-601-4517,053-256-6119,128.575269,35.86214378
43,44,광주소방안전본부,광산소방서,광주광역시 광산구 하남산단1번로 13(하남동),062-613-8813,062-613-8819,126.7964661,35.18641324
44,45,광주소방안전본부,남부소방서,광주광역시 남구 송암로58번길 13(송하동),062-613-8613,062-613-8619,126.8782902,35.11056391
45,46,광주소방안전본부,동부소방서,광주광역시 동구 제봉로 210(대인동),062-613-8413,062-613-8419,126.9147669,35.15471989
46,47,광주소방안전본부,북부소방서,광주광역시 북구 서하로 290(오치동),062-613-8713,062-613-8719,126.9122438,35.18673016
47,48,광주소방안전본부,서부소방서,광주광역시 서구 화운로 197(화정동),062-613-8513,062-613-8519,126.8762253,35.15669432
48,49,인천소방본부,강화소방서,인천광역시  강화군 강화읍 남문로 23번길 11,032-930-5811,032-439-5119,126.4872637,37.73964088
