,juso,경도,위도
0,강원도 인제군 남면 자작나무숲길 132-2,128.143072247,38.015422393
1,경상남도 밀양시 초동면 덕산2길 32-81,128.695756688,35.431979672
2,강원도 인제군 남면 삼팔선로 1720-77,128.057339475,37.972198583
3,전라북도 부안군 하서면 용와2길 24-1,126.640176268,35.690801422
4,강원도 원주시 학마을길 96 (관설동),127.979342890,37.298292985
5,충청북도 제천시 봉양읍 논골로6길 34-26,128.131463156,37.104093858
6,경상북도 포항시 북구 송라면 대전길 7,129.350016894,36.245755166
7,서울특별시 은평구 진관길 36 (진관동),126.943465268,37.637746016
8,강원도 횡성군 청일면 춘당로 182,128.154623055,37.614109847
9,경상북도 예천군 보문면 미호길 129-5,128.510501710,36.665492124
10,충청북도 괴산군 불정면 원웅동길 72-13,127.805336566,36.913576881
11,강원도 평창군 용평면 운두령로 1243,128.444559526,37.707120497
12,충청북도 청주시 청원구 북이면 북이석화길 26-4,127.569074912,36.716806721
13,경상북도 김천시 개령면 오송안길 21-8,128.152081686,36.147543186
14,,,
15,전라북도 전주시 완산구 남고산성1길 176-9 (동서학동),127.160224082,35.795386601
16,강원도 삼척시 도계읍 늑구점리3길 99-498,128.997857951,37.238575548
17,경기도 안산시 단원구 큰상재미길 12-8 (대부동동),126.608024664,37.238288195
18,경상북도 문경시 불정길 149-7 (불정동),128.138513525,36.624220760
19,경기도 포천시 영중면 금화봉길 358,127.231044503,37.972176205
20,부산광역시 북구 백양대로 1073 (구포동),128.997753155,35.201040289
21,경상북도 고령군 대가야읍 성산로 45,128.282166440,35.729027027
22,경상북도 김천시 농소면 용암2길 66,128.156494578,36.090677634
23,경상북도 안동시 임동면 갈전대실길 131,128.953631377,36.572878736
24,강원도 삼척시 근덕면 공양왕길 393,129.260900770,37.336481125
25,경상북도 경주시 감포읍 감포로 334-11,129.511314483,35.817657594
26,경상북도 봉화군 명호면 청량로 687-190,128.884529811,36.820932681
27,경기도 포천시 관인면 창동로 1826-37,127.250329790,38.154546866
28,경상북도 봉화군 명호면 갈골길 543-12,128.833385349,36.832451732
29,경상북도 경주시 현곡면 가막골길 95-12,129.178743209,35.874612011
30,경상북도 영천시 고경면 호국로 966-6,,
31,경기도 안성시 서운면 안성맞춤대로 2-55,127.228347363,36.926422523
32,,,
33,전라남도 담양군 대덕면 창평현로 927,127.038128110,35.249986271
34,충청북도 보은군 산외면 운암계원로 1215,127.747671008,36.585214903
35,경기도 안성시 금광면 배티로 598-30,127.322044377,36.976363869
36,전라북도 순창군 금과면 방성길 41-76,127.075516736,35.313578991
37,경상북도 영주시 효자길 122-6 (하망동),128.630717404,36.823244972
38,경상남도 합천군 대병면 호수길 44-24,128.010441890,35.533343754
39,충청북도 충주시 앙성면 중방곡길 57-44,127.737207941,37.172603796
40,전라남도 구례군 광의면 난동길 79-27,127.445816738,35.282670934
41,강원도 정선군 임계면 눈꽃마을길 412,128.926214656,37.503078784
42,강원도 고성군 거진읍 남강로 67-7,128.455765010,38.396048299
43,경상남도 거창군 거창읍 갈지길 262-114,127.892584603,35.713518904
44,강원도 양양군 서면 설악로 801,128.449327918,38.085419535
45,전라북도 진안군 용담면 꽃다운길 19,127.466920148,35.937372720
46,경상북도 군위군 산성면 산성가음로 722,128.696120304,36.127779567
47,전라남도 순천시 황전면 건구칠동로 454-49,127.489765402,35.101439003
48,경기도 연천군 신서면 점말길 123,127.114547156,38.190716027
49,,,
50,강원도 영월군 주천면 솔치로 363-60,128.219358836,37.271151108
51,경상남도 창원시 의창구 창원대학로 20 (퇴촌동),128.696841555,35.244703260
52,경상남도 창원시 마산회원구 금강로 65-122 (합성동),128.578023723,35.240479710
53,강원도 삼척시 새천년도로 630-19 (갈천동),129.160884956,37.465689864
54,인천광역시 강화군 교동면 교동서로412번길 170-14,126.225294311,37.770280896
55,전라남도 구례군 산동면 고산로 770,127.389871516,35.297276410
56,경상남도 함양군 서하면 봉전길 26-18,127.743870149,35.625765920
57,전라남도 나주시 다도면 다도로 1224-28,126.832738507,34.911802994
58,인천광역시 부평구 영성동로 46 (삼산동),126.748258233,37.522766039
59,강원도 영월군 주천면 다래골길 118-27,128.241333135,37.281527010
60,전라남도 신안군 지도읍 원내양길 157,126.234108043,35.092051264
61,강원도 양구군 양구읍 양남로 11-10,127.992437726,38.105658821
62,강원도 홍천군 북방면 굴지강변로 385,127.788271683,37.696928422
63,전라남도 화순군 사평면 원동길 41-44,127.077465199,34.994103796
64,경상북도 봉화군 소천면 개내골길 8,129.116684079,36.844395339
65,강원도 양양군 서면 구룡령로 3036,128.566522791,38.052886857
66,충청북도 괴산군 괴산읍 능촌로1길 3-20,127.828387987,36.836283156
67,충청남도 천안시 동남구 병천면 개목고개길 113-2,127.295493373,36.775534760
68,강원도 양구군 양구읍 상무룡로 396,127.927036384,38.163491461
69,경상북도 경산시 진량읍 북리1길 129-4,128.831380120,35.886852632
70,인천광역시 계양구 봉오대로499번길 49-63 (효성동),126.699510817,37.532942327
71,강원도 영월군 산솔면 성황골길 127-10,128.630393960,37.154530406
72,강원도 평창군 대관령면 수하로 673-3,128.725864357,37.618892416
73,전라남도 진도군 조도면 가사도돌목길 203-1,126.043163003,34.470394418
74,강원도 화천군 사내면 수피령로 930-36,127.532959513,38.146502066
75,충청북도 청주시 청원구 주중로165번길 231-1 (주중동),127.486986734,36.690329910
76,경상북도 봉화군 법전면 갈산로 1397-644,128.992216776,36.879155647
77,전라남도 곡성군 삼기면 곡순로 860-42,127.239645538,35.202593849
78,강원도 양양군 서면 구룡령로 2922,128.563631325,38.046162712
79,충청남도 당진시 우강면 평야5로 239-2,126.809404140,36.806804057
80,충청북도 보은군 속리산면 만수길 136,127.867824314,36.495371926
