연번,명칭,높이(m),경도(E),위도(N)
1,가제산,682.7,128.0827528,35.9913083
2,동대산,566.0,128.1162556,35.9886361
3,신달이산,469.0,128.1158111,35.9992889
4,연석봉,599.5,128.1110583,35.9801889
5,글씨산,453.8,128.1452722,35.9862278
6,자산,359.9,128.2294278,35.9791389
7,염속산,872.5,128.1187472,35.959525
8,염속봉산(염속산),679.3,128.1512694,35.9660028
9,연봉산,229.1,128.2078278,35.9636194
10,삼방산,865.2,128.0042583,35.9293889
11,태자봉,295.9,128.1925222,35.9284139
12,시루봉산,469.2,128.0328528,35.9039306
13,독용산,956.1,128.1040583,35.9027972
14,도장골산,526.8,128.1626639,35.9133194
15,형제봉,1022.5,128.0878861,35.8751611
16,장대,616.0,128.1161167,35.8782694
17,신흥뒷산,562.6,128.1369222,35.8990778
18,용두산,184.9,128.1666111,35.8785972
19,칠봉산,517.0,128.2338139,35.8819611
20,아박산,693.3,128.1215194,35.8581639
21,연감산(노인봉),466.9,128.1764778,35.8530639
22,단지봉,1327.4,128.0118139,35.8289389
23,두리봉,1135.1,128.0907278,35.8306278
24,까치산,571.6,128.2167556,35.8495944
25,추산,524.1,128.2457222,35.8490472
26,난석산,1085.5,128.0685333,35.8063556
27,남산,1113.6,128.0706028,35.8078111
28,비봉산,858.3,128.0891194,35.8030556
29,가야산,1432.6,128.1229417,35.8225611
30,단지봉,1029.2,128.0714861,35.7827139
31,신부락뒷산,641.9,128.0980972,35.7941361
32,오봉산,855.6,128.0941222,35.7843167
33,가산,690.7,128.1354306,35.7842917
34,우두산,1046.3,128.0442389,35.7521389
35,남산제일봉,1054.3,128.0956056,35.7727889
36,매화산,953.9,128.1024694,35.7626222
37,북두산,697.7,128.1628556,35.7742
38,삼암봉,425.5,128.1610917,35.7543333
39,시루봉,572.2,128.1525611,35.7655222
40,문수봉,677.0,128.1943278,35.7529694
41,사월봉,400.5,128.2199056,35.7670444
42,매봉산,359.3,128.0048611,35.9894278
43,빌무산,783.6,128.1701444,35.9933139
44,문의봉,455.7,128.0335083,35.9721583
45,연봉산,704.9,128.1504139,35.9733833
46,적산,510.1,128.1657111,35.9498361
47,작은까치산,449.5,128.2215833,35.84815
48,상왕봉,1430.0,128.1204972,35.8235972
49,소바위등,662.9,128.0649528,35.7537528
50,수리등,841.2,128.0580472,35.75455
51,노인산,383.4,128.3939194,38.46935
52,고성산,297.0,128.4518361,38.3525583
53,오음산,281.7,128.4863056,38.3428944
54,명우산,335.5,128.4643083,38.3149028
55,죽변산,680.3,128.4623083,38.2936694
56,마산,1052.0,128.3987889,38.2676361
57,칠정봉,1171.1,128.3192861,38.2660639
58,구성산,489.7,127.0234778,35.747825
59,모악산,795.2,127.0851722,35.7285806
60,경각산,659.1,127.1631083,35.7260611
61,옥녀봉,582.2,127.1863972,35.7293306
62,갈미봉,541.4,127.2087778,35.7093333
63,국사봉,535.3,127.0645806,35.6773472
64,치마산,568.1,127.1461917,35.6959583
65,노적봉,405.3,127.155975,35.6760861
66,도지봉,439.9,127.1726667,35.6878611
67,상사봉,402.1,127.1645056,35.6786111
68,시루봉,407.1,127.2137694,35.6951917
69,상두산,574.3,127.0336278,35.6668611
70,독금산,388.0,127.0719139,35.6530083
71,물래봉,379.0,127.0177306,35.6469722
72,비봉산,332.4,127.0054306,35.6436194
73,국사봉,475.2,127.1457667,35.64565
74,오봉산,513.2,127.132375,35.6441528
75,독계봉,258.9,127.0318083,35.6074194
76,촛대봉,389.0,127.05315,35.6054611
77,묵방산,538.0,127.093325,35.6097722
78,나래산,543.9,127.1250333,35.6117778
79,백이산,530.4,127.2238611,35.600775
80,장군봉,290.6,127.0057556,35.5908917
81,왕자산,443.8,127.0517806,35.5858417
82,성옥산,388.1,127.0775306,35.584525
83,감투봉,543.7,127.0121028,35.5653917
84,종석산,531.8,127.0374278,35.5500028
85,백련산,754.0,127.1687861,35.5673583
86,두만산,524.5,127.2400861,35.5699639
87,무제봉,558.0,127.244675,35.5672139
88,계룡산,402.5,127.0087972,35.5284194
89,매봉,487.6,127.0402667,35.5264222
90,오두봉,555.8,127.0474167,35.5409361
91,장검산,370.3,127.0744333,35.5424278
92,용두봉,550.3,127.1059944,35.5343417
93,필봉산,580.0,127.1279694,35.5403861
94,깃대봉,643.5,127.0390444,35.5041972
95,장군봉,782.6,127.0913639,35.5041306
96,회문산,837.1,127.1048417,35.5047806
97,회문산,550.8,127.1334444,35.5110167
98,약담봉,424.7,127.1704167,35.5047056
99,원통산,603.9,127.20805,35.5118389
100,지초봉,569.9,127.2247083,35.522675
101,제비산,308.3,127.0293444,35.7262806
102,하산,435.0,127.1602639,35.6679778
103,채계산,117.5,127.0366333,35.6241444
104,부치봉,260.1,127.0242139,35.5551778
105,깃대봉,517.7,127.0218194,35.5369694
106,장구목산,256.5,127.1523528,35.5302917
107,중군봉,277.2,127.2831472,38.1220556
108,명성산,922.0,127.3381583,38.1042833
109,각흘봉,662.0,127.3857222,38.1048306
110,광덕산,1049.2,127.4319667,38.1161778
111,각흘봉,434.3,127.2876694,38.0923306
112,망무봉,441.7,127.3141944,38.0739306
113,박달봉,820.0,127.4123417,38.0968611
114,감투봉,501.0,127.3717083,38.066775
115,백운산,903.0,127.4444833,38.0748361
116,관음산,732.1,127.3104306,38.0290139
117,사향산,737.4,127.3430611,38.0379111
118,가리산,774.3,127.4067028,38.0403778
119,관모봉,585.5,127.28085,38.0003167
120,국망봉,1167.3,127.4182639,38.0137417
121,석룡산,1147.4,127.4763861,38.0061889
122,망봉산,382.5,127.3224083,38.0631444
123,죽전산,64.9,129.5425667,35.9831
124,광정산,198.9,129.5223944,35.9532556
125,닭벼슬산,147.0,129.5072333,35.9654556
126,뇌성산,212.8,129.5066361,35.9401944
127,수양산,183.1,129.5114861,35.9179583
128,독산,50.4,129.518625,35.8967306
129,백인령,129.6,129.5182278,35.8678583
130,우성산,211.1,129.5168083,35.9362
