diravg,dirmax,humidcurr,humidmin,humidrel,ocurcause,ocurdo,rainamount,raindays,riskavg,riskmax,tempavg,windavg,windmax,within_5km,within_10km,within_30km,within_5km_fact,within_10km_fact,within_30km_fact,height,scale_damage
SE,S,0.0,0.0,57.0,쓰레기소각,강원,0.5,6,0.0,0.0,23.6,1.9,5.6,0.0,1.0,2.0,0,0,0,493.5,0.7027025638989716
NNE,SE,0.0,0.0,46.0,담뱃불실화 추정,경남,1.5,6,0.0,0.0,29.6,2.4,4.0,0.0,1.0,7.0,1,9,159,622.1,0.253157053915146
NW,SSW,0.0,0.0,57.0,도로공사(용접불티)비화,강원,0.5,2,0.0,0.0,29.3,1.3,6.7,0.0,0.0,3.0,0,0,0,557.5,0.6213138415754541
WNW,W,0.0,0.0,46.0,등산객실화 추정,전북,1.5,3,0.0,0.0,25.3,3.3,7.8,0.0,1.0,4.0,1,4,22,354.7,-0.9103124770093689
NNE,SSE,0.0,0.0,40.0,낙뢰추정,강원,0.5,1,0.0,0.0,22.3,2.0,9.9,1.0,1.0,3.0,0,0,1,535.5,0.3685800202530326
E,E,0.0,0.0,28.0,입산자실화 추정,충북,2.0,3,0.0,0.0,28.7,2.9,7.7,0.0,1.0,4.0,0,1,3,317.4,0.16350314089357065
N,S,0.0,0.0,75.0,입산자실화 추정,경북,4.9,5,0.0,0.0,22.7,1.9,3.7,0.0,0.0,3.0,2,3,18,169.5,0.8739875542626652
W,ESE,0.0,0.0,29.0,입산자실화,서울,1.5,6,0.0,0.0,23.5,1.3,0.9,1.0,8.0,43.0,7,178,564,332.9,0.8799788160094026
SSW,N,0.0,0.0,51.0,쓰레기소각,강원,5.0,6,0.0,0.0,25.4,1.1,1.9,0.0,0.0,2.0,0,0,0,713.4,0.7733503859215778
SE,NNW,0.0,0.0,14.0,입산자실화 추정,경북,3.5,6,0.0,0.0,19.2,1.0,1.7,1.0,1.0,4.0,1,1,11,191.8,0.777367872776308
NW,WSW,0.0,0.0,35.0,등산객 담뱃불실화 추정,충북,10.6,5,0.0,0.0,31.9,3.2,4.5,0.0,0.0,4.0,0,0,2,392.7,-0.6958805759859075
NNE,WSW,0.0,0.0,25.0,밭두렁소각,강원,6.5,5,0.0,0.0,32.4,7.9,5.6,0.0,0.0,0.0,0,0,0,1579.1,1.1145348842163885
W,NNW,0.0,0.0,48.0,입산자실화,충북,5.5,4,0.0,0.0,28.8,1.4,1.0,0.0,1.0,7.0,0,1,7,256.5,0.8585488832654073
WNW,N,0.0,0.0,48.0,농산폐기물소각,경북,0.5,4,0.0,0.0,35.0,3.6,3.3,0.0,1.0,4.0,6,6,21,227.6,-0.8075019431632361
WNW,NNW,0.0,0.0,34.0,벌채잔존목 소각,전북,0.5,2,0.0,0.0,30.5,2.1,3.7,1.0,2.0,5.0,15,25,47,273.7,0.45377595496375256
NNW,NW,0.0,0.0,24.0,무속행위,강원,5.0,2,0.0,0.0,27.6,3.5,5.3,0.0,1.0,2.0,0,0,0,902.2,0.8386416340519307
W,SSW,0.0,0.0,37.0,쓰레기소각,경기,2.2,3,0.0,0.0,27.3,3.4,5.0,0.0,0.0,7.0,1,1,269,64.8,0.8989724377451778
W,WNW,0.0,0.0,28.0,쓰레기소각,경북,12.5,3,0.0,0.0,31.1,2.9,5.4,0.0,1.0,3.0,0,5,10,487.9,0.14649405007169525
SE,SSW,0.0,0.0,46.0,원인미상,경기,20.8,4,0.0,0.0,29.3,2.3,7.1,0.0,1.0,5.0,0,0,9,154.0,-0.9629241862749662
SSE,SSW,0.0,0.0,86.0,입산자실화,강원,2.0,2,0.0,0.0,29.4,1.4,5.5,1.0,4.0,16.0,9,76,238,641.3,0.6820485188054224
SW,ESE,0.0,0.0,47.0,훈련중 부상자 구조신호,경북,1.3,3,0.0,0.0,28.3,3.0,5.0,0.0,0.0,7.0,0,0,28,289.1,-0.6975053168876221
WNW,SW,0.0,0.0,36.0,논두렁소각,경북,0.5,1,0.0,0.0,31.7,4.0,9.3,1.0,1.0,4.0,6,6,21,172.8,0.9747753178969623
NW,N,0.0,0.0,91.0,쓰레기소각,경북,3.5,1,0.0,0.0,26.5,3.6,8.2,0.0,0.0,1.0,0,0,5,589.3,-0.5739270243004313
W,WNW,0.0,0.0,76.0,산나물채취자 실화 추정,강원,1.0,1,0.0,0.0,26.1,4.7,11.8,0.0,0.0,2.0,0,0,0,53.9,0.49926350099579364
S,WNW,0.0,0.0,46.0,농산폐기물소각,경북,13.0,13,0.0,0.0,25.1,4.9,8.6,0.0,0.0,4.0,0,1,20,186.6,1.0161009847125753
W,SW,0.0,0.0,27.0,입산자실화,경북,18.5,3,0.0,0.0,27.7,0.9,3.7,0.0,0.0,1.0,0,1,3,893.0,-1.27223315116437
ESE,WNW,0.0,0.0,27.0,입산자실화 추정,경기,0.8,8,0.0,0.0,28.4,1.7,3.5,0.0,1.0,3.0,0,0,1,643.1,-0.7177218133475636
ESE,SE,0.0,0.0,46.0,입산자실화 추정,경북,18.5,1,0.0,0.0,22.7,2.6,5.0,0.0,0.0,1.0,0,1,3,616.6,-1.139351490020165
