diravg,humidrel,rainamount,raindays,tempavg,windavg,within_5km,within_10km,within_30km,within_5km_fact,within_10km_fact,within_30km_fact,height,scale_damage
15,57.0,0.5,6,23.6,1.9,0.0,1.0,2.0,0,0,0,493.5,2.0
10,46.0,1.5,6,29.6,2.4,0.0,1.0,7.0,1,9,159,622.1,1.0
12,57.0,0.5,2,29.3,1.3,0.0,0.0,3.0,0,0,0,557.5,2.0
24,46.0,1.5,3,25.3,3.3,0.0,1.0,4.0,1,4,22,354.7,0.0
10,40.0,0.5,1,22.3,2.0,1.0,1.0,3.0,0,0,1,535.5,1.0
2,28.0,2.0,3,28.7,2.9,0.0,1.0,4.0,0,1,3,317.4,1.0
7,75.0,4.9,5,22.7,1.9,0.0,0.0,3.0,2,3,18,169.5,2.0
21,29.0,1.5,6,23.5,1.3,1.0,8.0,43.0,7,178,564,332.9,2.0
18,51.0,5.0,6,25.4,1.1,0.0,0.0,2.0,0,0,0,713.4,2.0
15,14.0,3.5,6,19.2,1.0,1.0,1.0,4.0,1,1,11,191.8,2.0
12,35.0,10.6,5,31.9,3.2,0.0,0.0,4.0,0,0,2,392.7,0.0
10,25.0,6.5,5,32.4,7.9,0.0,0.0,0.0,0,0,0,1579.1,2.0
21,48.0,5.5,4,28.8,1.4,0.0,1.0,7.0,0,1,7,256.5,2.0
24,48.0,0.5,4,35.0,3.6,0.0,1.0,4.0,6,6,21,227.6,0.0
24,34.0,0.5,2,30.5,2.1,1.0,2.0,5.0,15,25,47,273.7,1.0
11,24.0,5.0,2,27.6,3.5,0.0,1.0,2.0,0,0,0,902.2,2.0
21,37.0,2.2,3,27.3,3.4,0.0,0.0,7.0,1,1,269,64.8,2.0
21,28.0,12.5,3,31.1,2.9,0.0,1.0,3.0,0,5,10,487.9,1.0
15,46.0,20.8,4,29.3,2.3,0.0,1.0,5.0,0,0,9,154.0,0.0
17,86.0,2.0,2,29.4,1.4,1.0,4.0,16.0,9,76,238,641.3,2.0
19,47.0,1.3,3,28.3,3.0,0.0,0.0,7.0,0,0,28,289.1,0.0
24,36.0,0.5,1,31.7,4.0,1.0,1.0,4.0,6,6,21,172.8,2.0
12,91.0,3.5,1,26.5,3.6,0.0,0.0,1.0,0,0,5,589.3,1.0
21,76.0,1.0,1,26.1,4.7,0.0,0.0,2.0,0,0,0,53.9,1.0
14,46.0,13.0,13,25.1,4.9,0.0,0.0,4.0,0,1,20,186.6,2.0
21,27.0,18.5,3,27.7,0.9,0.0,0.0,1.0,0,1,3,893.0,0.0
