model,pca,standard,tune,accuracy,precision,recall,f1
dt,False,False,,0.4604926108374384,0.376286862918969,0.37631436416009933,0.3761298009742685
dt,False,True,,0.4601970443349754,0.37619702676105393,0.3762301182603066,0.3760371492616841
dt,True,True,,0.4392118226600985,0.36201831117185357,0.3614622494290338,0.3614623703033768
knn,False,False,,0.4810837438423645,0.3769566570314145,0.37861175750070813,0.37356119014323513
knn,False,True,,0.5004926108374385,0.3858824291652314,0.3907558022205945,0.3841826738354139
knn,True,True,,0.49990147783251226,0.3845130568726133,0.38934667236779474,0.38231292819611423
rf,False,False,,0.5864039408866996,0.5776941636688531,0.4227619605982853,0.402228931263301
rf,False,True,,0.5852216748768473,0.5752034901891772,0.4219409710589054,0.40158201906527874
rf,True,True,,0.568768472906404,0.4745555490728937,0.4039409460900787,0.37744676737163846
ab,False,False,,0.574088669950739,0.3773607191567301,0.40039304724247027,0.3671123568805366
ab,False,True,,0.574088669950739,0.3773607191567301,0.40039304724247027,0.3671123568805366
ab,True,True,,0.5643349753694583,0.3855568686008016,0.3888273777427583,0.3527280425522541
gb,False,False,,0.5815763546798031,0.4838157938839015,0.405664953401436,0.37368868865803206
gb,False,True,,0.5815763546798031,0.47836514157730836,0.40566466248895994,0.373703185007141
gb,True,True,,0.5733990147783251,0.4305323640803695,0.39605192391003324,0.36109900909723125
kmeans,False,False,,0.305320197044335,0.2794521776190616,0.31619227189090593,0.24745362447713667
