model,pca,standard,tune,accuracy,precision,recall,f1
dt,False,False,,0.4559605911330049,0.3877230608828156,0.388219209237037,0.3862238922684726
dt,False,True,,0.45044334975369454,0.3821961440791201,0.38306531680782446,0.38133612384429544
dt,True,True,,0.4131034482758621,0.3665219858170015,0.36403570519898676,0.3598908509079642
knn,False,False,,0.3785221674876847,0.3816860687217559,0.3779041609174243,0.3534225042623131
knn,False,True,,0.38364532019704434,0.384434038079993,0.38287015254282203,0.3586649062895842
knn,True,True,,0.38305418719211815,0.3832504081363072,0.38223566480023313,0.35789318655480845
rf,False,False,,0.5752709359605912,0.4661168340921019,0.43553532148336976,0.4299845296615711
rf,False,True,,0.5603940886699508,0.45108145882041795,0.4254132490987437,0.42039877523809127
rf,True,True,,0.512512315270936,0.4167704572182858,0.4134113230222599,0.4138221993737526
ab,False,False,,0.519113300492611,0.4157775672588796,0.4078344701474751,0.4074279245725701
ab,False,True,,0.49862068965517237,0.40678558239944085,0.4026248890445333,0.40347742982254875
ab,True,True,,0.40679802955665023,0.40399768611459963,0.3936336754991768,0.3769467000503783
gb,False,False,,0.5706403940886698,0.43439772310890207,0.4114900150551256,0.38960303168450117
gb,False,True,,0.5678817733990147,0.4435038382385833,0.41022521567646664,0.38937400946086453
gb,True,True,,0.4239408866995074,0.41184467432767624,0.40160699201820976,0.3880134057246565
kmeans,False,False,,0.26857142857142857,0.27117040276615045,0.3124716620165039,0.22975348511982485
kmeans,False,True,,0.3385221674876847,0.3177739634620743,0.33390516254145264,0.28284540196581065
kmeans,True,True,,0.3545812807881773,0.31206798175611017,0.32989755875539684,0.2869568032843967
bag,False,False,,0.5423645320197045,0.4165107005521776,0.3777441844479724,0.3375583683742439
bag,False,True,,0.556551724137931,0.39951536676370974,0.37502819214716415,0.3253540807473083
bag,True,True,,0.5604926108374385,0.40612237152320996,0.3704915879551653,0.31195810421584824
voting,False,False,,0.565320197044335,0.44611311007967264,0.43265297351521703,0.4268428637427902
voting,False,True,,0.543448275862069,0.4328630305938974,0.42157288894118244,0.4187197844557515
voting,True,True,,0.4407881773399015,0.4036869841348034,0.4008243015607588,0.3928460079662191
