model,pca,standard,tune,accuracy,precision,recall,f1
dt,False,False,,0.5698522167487684,0.37218304219790793,0.3974083520471411,0.3639007167257256
dt,False,True,,0.5698522167487684,0.37218304219790793,0.3974083520471411,0.3639007167257256
dt,True,True,,0.5667980295566502,0.42434366088046893,0.3905130202379878,0.35420034462434813
knn,False,False,,0.5533990147783252,0.3548996154702802,0.3835851191858649,0.34877034839781446
knn,False,True,,0.5629556650246306,0.41308282267133495,0.3958264665298767,0.3644715448612413
knn,True,True,,0.5638423645320197,0.41342513668624575,0.39596781410196813,0.36426035279054836
rf,False,False,,0.5741871921182267,0.3954348878730851,0.39073213579210275,0.3490260346539067
rf,False,True,,0.5741871921182267,0.3954348878730851,0.39073213579210275,0.3490260346539067
rf,True,True,,0.5750738916256157,0.3958662376910764,0.39185771067698477,0.3507535928091453
ab,False,False,,0.5739901477832512,0.3813589412747597,0.39715497505303193,0.3618080844016699
ab,False,True,,0.5738916256157636,0.38127041271264994,0.39705048184509045,0.3616924045518075
ab,True,True,,0.5628571428571428,0.3720088680304688,0.38482530565496154,0.3452862029108018
gb,False,False,,0.5793103448275863,0.4131843226909015,0.40310857240940134,0.36980928774738653
gb,False,True,,0.5793103448275863,0.4131843226909015,0.40310857240940134,0.36980928774738653
gb,True,True,,0.5730049261083744,0.4724456855181948,0.3958149727607621,0.3602450261040227
kmeans,False,False,,0.2817733990147783,0.2754278325700505,0.3109667130548387,0.23613562776022445
kmeans,False,True,,0.3022660098522168,0.31910115223057733,0.32848069010663206,0.2641079711347065
kmeans,True,True,,0.3028571428571428,0.29432861870950405,0.3165422969110382,0.25616897469031985
bag,False,False,,0.5611822660098522,0.40437092961070764,0.371642667017802,0.3144559669509002
bag,False,True,,0.5611822660098522,0.40437092961070764,0.371642667017802,0.3144559669509002
bag,True,True,,0.5604926108374385,0.40757733988830347,0.37041965677266997,0.3117199337025002
voting,False,False,,0.5760591133004926,0.39044982125115346,0.3955371749941171,0.3574807629186498
voting,False,True,,0.5774384236453203,0.39187380085210327,0.3973937224808525,0.36021569701700573
voting,True,True,,0.5760591133004926,0.3921965058502645,0.3940113719892504,0.3544012799058569
